event,year,gender,competition,round,lane,position,athlete,country,time,reaction_time
100m,2008,F,Olympics,table_7,1,5,Yuliya Nestsiarenka,Belarus,11.26,0.156
100m,2008,F,Olympics,table_7,3,3,Jeanette Kwakye,Great Britain,11.19,0.156
100m,2008,F,Olympics,table_7,4,2,Torri Edwards,United States,11.18,0.174
100m,2008,F,Olympics,table_7,5,7,Evgeniya Polyakova,Russia,11.38,0.173
100m,2008,F,Olympics,table_7,6,4,Debbie Ferguson-McKenzie,Bahamas,11.22,0.184
100m,2008,F,Olympics,table_7,7,1,Kerron Stewart,Jamaica,11.05,0.202
100m,2008,F,Olympics,table_7,8,6,Kim Gevaert,Belgium,11.3,0.194
100m,2008,F,Olympics,table_7,9,8,Oludamola Osayomi,Nigeria,11.44,0.208
100m,2008,F,Olympics,table_8,3,7,Debbie Ferguson,Bahamas,11.19,0.167
100m,2008,F,Olympics,table_8,5,5,Muna Lee,United States,11.07,0.234
100m,2008,F,Olympics,table_8,6,8,Torri Edwards,United States,11.2,0.179
100m,2008,F,Olympics,table_8,8,4,Lauryn Williams,United States,11.03,0.149
100m,2008,F,Olympics,table_8,9,6,Jeanette Kwakye,Great Britain,11.14,0.161
100m,2008,M,Olympics,table_23,2,8,Martial Mbandjock,France,10.18,0.148
100m,2008,M,Olympics,table_23,3,7,Naoki Tsukahara,Japan,10.16,0.143
100m,2008,M,Olympics,table_23,4,4,Darvis Patton,United States,10.03,0.149
100m,2008,M,Olympics,table_23,5,3,Churandy Martina,Netherlands Antilles,9.94,0.138
100m,2008,M,Olympics,table_23,6,1,Asafa Powell,Jamaica,9.91,0.161
100m,2008,M,Olympics,table_23,7,2,Richard Thompson,Trinidad and Tobago,9.93,0.175
100m,2008,M,Olympics,table_23,8,6,Francis Obikwelu,Portugal,10.1,0.157
100m,2008,M,Olympics,table_23,9,5,Tyson Gay,United States,10.05,0.145
100m,2008,M,Olympics,table_24,2,6,Michael Frater,Jamaica,9.97,0.147
100m,2008,M,Olympics,table_24,3,8,Darvis Patton,United States,10.03,0.142
100m,2008,M,Olympics,table_24,7,5,Asafa Powell,Jamaica,9.95,0.134
100m,2008,M,Olympics,table_24,8,7,Marc Burns,Trinidad and Tobago,10.01,0.145
100m,2008,M,Olympics,table_24,9,4,Churandy Martina,Netherlands Antilles,9.93,0.169
100m,2009,F,World Championships,table_10,1,8,Aleen Bailey,Jamaica,11.16,NA
100m,2009,F,World Championships,table_10,2,6,Debbie Ferguson-McKenzie,Bahamas,11.05,NA
100m,2009,F,World Championships,table_10,6,4,Veronica Campbell-Brown,Jamaica,10.95,NA
100m,2009,F,World Championships,table_10,7,7,Chandra Sturrup,Bahamas,11.05,NA
100m,2009,F,World Championships,table_10,8,5,Lauryn Williams,United States,11.01,NA
100m,2009,F,World Championships,table_9,1,6,Vida Anim,Ghana,11.43,NA
100m,2009,F,World Championships,table_9,2,8,Eleni Artymata,Cyprus,11.49,NA
100m,2009,F,World Championships,table_9,3,2,Veronica Campbell-Brown,Jamaica,11,NA
100m,2009,F,World Championships,table_9,4,1,Carmelita Jeter,United States,10.83,NA
100m,2009,F,World Championships,table_9,5,3,Chandra Sturrup,Bahamas,11.01,NA
100m,2009,F,World Championships,table_9,6,4,Aleen Bailey,Jamaica,11.16,NA
100m,2009,F,World Championships,table_9,7,7,Semoy Hackett,Trinidad and Tobago,11.45,NA
100m,2009,F,World Championships,table_9,8,5,Muna Lee,United States,11.18,NA
100m,2009,M,World Championships,table_11,1,7,Gerald Phiri,Zambia,10.19,NA
100m,2009,M,World Championships,table_11,2,6,Monzavous Edwards,United States,10.14,NA
100m,2009,M,World Championships,table_11,3,3,Richard Thompson,Trinidad and Tobago,9.98,NA
100m,2009,M,World Championships,table_11,4,2,Asafa Powell,Jamaica,9.95,NA
100m,2009,M,World Championships,table_11,5,1,Tyson Gay,United States,9.93,NA
100m,2009,M,World Championships,table_11,6,4,Dwain Chambers,Great Britain & N.I.,10.04,NA
100m,2009,M,World Championships,table_11,7,5,Michael Frater,Jamaica,10.14,NA
100m,2009,M,World Championships,table_11,8,8,Naoki Tsukahara,Japan,10.25,NA
100m,2009,M,World Championships,table_12,1,6,Dwain Chambers,Great Britain & N.I.,10,NA
100m,2009,M,World Championships,table_12,2,7,Marc Burns,Trinidad and Tobago,10,NA
100m,2009,M,World Championships,table_12,3,4,Daniel Bailey,Antigua and Barbuda,9.93,NA
100m,2009,M,World Championships,table_12,7,8,Darvis Patton,United States,10.34,NA
100m,2009,M,World Championships,table_12,8,5,Richard Thompson,Trinidad and Tobago,9.93,NA
100m,2011,F,World Championships,table_11,1,7,Ivet Lalova,Bulgaria,11.27,NA
100m,2011,F,World Championships,table_11,2,5,Blessing Okagbare,Nigeria,11.12,NA
100m,2011,F,World Championships,table_11,3,4,Shelly-Ann Fraser-Pryce,Jamaica,10.99,NA
100m,2011,F,World Championships,table_11,6,6,Kerron Stewart,Jamaica,11.15,NA
100m,2011,F,World Championships,table_11,7,8,Marshevet Myers,United States,11.33,NA
100m,2011,M,World Championships,table_11,1,6,Jimmy Vicaut,France,10.27,NA
100m,2011,M,World Championships,table_11,2,5,Daniel Bailey,Antigua and Barbuda,10.26,NA
100m,2011,M,World Championships,table_11,7,7,Nesta Carter,Jamaica,10.95,NA
100m,2011,M,World Championships,table_11,8,4,Christophe Lemaitre,France,10.19,NA
100m,2012,F,Olympics,table_19,2,6,Kelly-Ann Baptiste,Trinidad and Tobago,10.94,NA
100m,2012,F,Olympics,table_19,3,7,Murielle Ahouré,Ivory Coast,11,NA
100m,2012,F,Olympics,table_19,6,8,Blessing Okagbare,Nigeria,11.01,NA
100m,2012,F,Olympics,table_19,8,5,Allyson Felix,United States,10.89,NA
100m,2012,F,Olympics,table_19,9,4,Tianna Madison,United States,10.85,NA
100m,2012,M,Olympics,table_20,3,7,Rondel Sorrillo,Trinidad and Tobago,10.31,0.14
100m,2012,M,Olympics,table_20,4,2,Tyson Gay,United States,9.9,0.151
100m,2012,M,Olympics,table_20,5,6,Ryota Yamagata,Japan,10.1,0.158
100m,2012,M,Olympics,table_20,6,1,Yohan Blake,Jamaica,9.85,0.176
100m,2012,M,Olympics,table_20,7,3,Adam Gemili,Great Britain,10.06,0.158
100m,2012,M,Olympics,table_20,8,4,Derrick Atkins,Bahamas,10.08,0.164
100m,2012,M,Olympics,table_20,9,5,Justyn Warner,Canada,10.09,0.135
100m,2012,M,Olympics,table_21,2,6,Richard Thompson,Trinidad and Tobago,9.98,0.16
100m,2012,M,Olympics,table_21,3,7,Asafa Powell,Jamaica,11.99,0.155
100m,2012,M,Olympics,table_21,8,4,Ryan Bailey,United States,9.88,0.176
100m,2012,M,Olympics,table_21,9,5,Churandy Martina,Netherlands,9.94,0.139
100m,2013,F,World Championships,table_8,2,13,Myriam Soumaré,France,11.26,NA
100m,2013,F,World Championships,table_8,2,14,Michelle-Lee Ahye,Trinidad and Tobago,11.28,NA
100m,2013,F,World Championships,table_8,2,18,Nataliya Pohrebnyak,Ukraine,11.31,NA
100m,2013,F,World Championships,table_8,3,21,Mariely Sánchez,Dominican Republic,11.36,NA
100m,2013,F,World Championships,table_8,3,22,Olesya Povh,Ukraine,11.38,NA
100m,2013,F,World Championships,table_8,3,24,Tatjana Pinto,Germany,11.49,NA
100m,2013,F,World Championships,table_8,4,5,English Gardner,United States,11,NA
100m,2013,F,World Championships,table_8,4,7,Blessing Okagbare,Nigeria,11.08,NA
100m,2013,F,World Championships,table_8,4,9,Ivet Lalova,Bulgaria,11.1,NA
100m,2013,F,World Championships,table_8,5,4,Kerron Stewart,Jamaica,10.97,NA
100m,2013,F,World Championships,table_8,5,11,Ana Cláudia Lemos,Brazil,11.2,NA
100m,2013,F,World Championships,table_8,5,15,Franciela Krasucki,Brazil,11.29,NA
100m,2013,F,World Championships,table_8,6,2,Murielle Ahouré,Ivory Coast,10.95,NA
100m,2013,F,World Championships,table_8,6,6,Alexandria Anderson,United States,11.01,NA
100m,2013,F,World Championships,table_8,6,7,Octavious Freeman,United States,11.08,NA
100m,2013,F,World Championships,table_8,7,1,Shelly-Ann Fraser-Pryce,Jamaica,10.87,NA
100m,2013,F,World Championships,table_8,7,2,Carmelita Jeter,United States,10.95,NA
100m,2013,F,World Championships,table_8,7,10,Verena Sailer,Germany,11.11,NA
100m,2013,F,World Championships,table_8,8,17,Asha Philip,Great Britain & N.I.,11.3,NA
100m,2013,F,World Championships,table_8,8,19,Sheri-Ann Brooks,Jamaica,11.35,NA
100m,2013,F,World Championships,table_8,8,23,Gloria Asumnu,Nigeria,11.39,NA
100m,2013,F,World Championships,table_8,9,12,Schillonie Calvert,Jamaica,11.23,NA
100m,2013,F,World Championships,table_8,9,16,Sheniqua Ferguson,Bahamas,11.3,NA
100m,2013,F,World Championships,table_8,9,20,Ezinne Okparaebo,Norway,11.36,NA
100m,2013,F,World Championships,table_9,2,4,English Gardner,United States,10.97,NA
100m,2013,F,World Championships,table_9,3,7,Alexandria Anderson,United States,11.1,NA
100m,2013,F,World Championships,table_9,7,6,Blessing Okagbare,Nigeria,11.04,NA
100m,2013,F,World Championships,table_9,8,5,Kerron Stewart,Jamaica,10.97,NA
100m,2013,F,World Championships,table_9,9,8,Octavious Freeman,United States,11.16,NA
100m,2013,M,World Championships,table_10,2,8,James Dasaolu,Great Britain & N.I.,10.21,NA
100m,2013,M,World Championships,table_10,3,7,Christophe Lemaitre,France,10.06,NA
100m,2013,M,World Championships,table_10,4,5,Nickel Ashmeade,Jamaica,9.98,NA
100m,2013,M,World Championships,table_10,7,4,Kemar Bailey-Cole,Jamaica,9.98,NA
100m,2013,M,World Championships,table_10,9,6,Mike Rodgers,United States,10.04,NA
100m,2013,M,World Championships,table_9,2,20,Gavin Smellie,Canada,10.3,NA
100m,2013,M,World Championships,table_9,3,7,James Dasaolu,Great Britain & N.I.,9.97,NA
100m,2013,M,World Championships,table_9,3,16,Antoine Adams,Saint Kitts and Nevis,10.17,NA
100m,2013,M,World Championships,table_9,3,19,Gabriel Mvumvure,Zimbabwe,10.21,NA
100m,2013,M,World Championships,table_9,4,3,Kemar Bailey-Cole,Jamaica,9.93,NA
100m,2013,M,World Championships,table_9,4,4,Mike Rodgers,United States,9.93,NA
100m,2013,M,World Championships,table_9,4,5,Justin Gatlin,United States,9.94,NA
100m,2013,M,World Championships,table_9,5,2,Usain Bolt,Jamaica,9.92,NA
100m,2013,M,World Championships,table_9,5,6,Nesta Carter,Jamaica,9.97,NA
100m,2013,M,World Championships,table_9,5,9,Zhang Peimeng,China,10,NA
100m,2013,M,World Championships,table_9,6,1,Nickel Ashmeade,Jamaica,9.9,NA
100m,2013,M,World Championships,table_9,6,13,Aaron Brown,Canada,10.15,NA
100m,2013,M,World Championships,table_9,6,18,Richard Thompson,Trinidad and Tobago,10.19,NA
100m,2013,M,World Championships,table_9,7,8,Christophe Lemaitre,France,10,NA
100m,2013,M,World Championships,table_9,7,10,Jimmy Vicaut,France,10.01,NA
100m,2013,M,World Championships,table_9,7,11,Keston Bledman,Trinidad and Tobago,10.08,NA
100m,2013,M,World Championships,table_9,8,15,Jason Rogers,Saint Kitts and Nevis,10.15,NA
100m,2013,M,World Championships,table_9,8,17,Anaso Jobodwana,South Africa,10.17,NA
100m,2013,M,World Championships,table_9,8,21,Ramon Gittens,Barbados,10.31,NA
100m,2013,M,World Championships,table_9,9,12,Churandy Martina,Netherlands,10.09,NA
100m,2013,M,World Championships,table_9,9,14,Dwain Chambers,Great Britain & N.I.,10.15,NA
100m,2013,M,World Championships,table_9,9,22,Harry Aikines-Aryeetey,Great Britain & N.I.,10.34,NA
100m,2015,M,World Championships,table_9,1,8,Jimmy Vicaut,France,10,NA
100m,2015,M,World Championships,table_9,2,9,Su Bingtian,China,10.06,NA
100m,2015,M,World Championships,table_9,4,5,Mike Rodgers,United States,9.94,NA
100m,2015,M,World Championships,table_9,6,6,Tyson Gay,United States,10,NA
100m,2015,M,World Championships,table_9,8,7,Asafa Powell,Jamaica,10,NA
100m,2016,F,Olympics,table_20,3,5,Semoy Hackett,Trinidad and Tobago,11.2,0.146
100m,2016,F,Olympics,table_20,4,1,Elaine Thompson,Jamaica,10.88,0.156
100m,2016,F,Olympics,table_20,5,4,Desirèe Henry,Great Britain,11.09,0.129
100m,2016,F,Olympics,table_20,6,3,Blessing Okagbare,Nigeria,11.09,0.155
100m,2016,F,Olympics,table_20,7,2,English Gardner,United States,10.9,0.158
100m,2016,F,Olympics,table_20,8,7,Tatjana Pinto,Germany,11.32,0.175
100m,2016,F,Olympics,table_20,9,6,Carina Horn,South Africa,11.2,0.149
100m,2016,F,Olympics,table_21,2,8,Christania Williams,Jamaica,11.8,0.163
100m,2016,F,Olympics,table_21,3,4,Marie-Josée Ta Lou,Ivory Coast,10.86,0.136
100m,2016,F,Olympics,table_21,7,7,English Gardner,United States,10.94,0.148
100m,2016,F,Olympics,table_21,8,6,Michelle-Lee Ahye,Trinidad and Tobago,10.92,0.132
100m,2016,F,Olympics,table_21,9,5,Dafne Schippers,Netherlands,10.9,0.134
100m,2016,M,Olympics,table_20,2,6,James Dasaolu,Great Britain,10.16,0.145
100m,2016,M,Olympics,table_20,3,4,Su Bingtian,China,10.08,0.14
100m,2016,M,Olympics,table_20,4,2,Yohan Blake,Jamaica,10.01,0.147
100m,2016,M,Olympics,table_20,5,5,Kemarley Brown,Bahrain,10.13,0.152
100m,2016,M,Olympics,table_20,6,1,Justin Gatlin,United States,9.94,0.151
100m,2016,M,Olympics,table_20,7,7,Asuka Cambridge,Japan,10.17,0.135
100m,2016,M,Olympics,table_20,9,3,Christophe Lemaitre,France,10.07,0.122
100m,2016,M,Olympics,table_21,2,8,Trayvon Bromell,United States,10.06,0.135
100m,2016,M,Olympics,table_21,3,5,Akani Simbine,South Africa,9.94,0.128
100m,2016,M,Olympics,table_21,5,7,Jimmy Vicaut,France,10.04,0.14
100m,2016,M,Olympics,table_21,8,6,Ben Youssef Meïté,Ivory Coast,9.96,0.156
100m,2016,M,Olympics,table_21,9,4,Yohan Blake,Jamaica,9.93,0.145
100m,2017,F,World Championships,table_10,2,8,Kelly-Ann Baptiste,Trinidad and Tobago,11.09,NA
100m,2017,F,World Championships,table_10,3,6,Michelle-Lee Ahye,Trinidad and Tobago,11.01,NA
100m,2017,F,World Championships,table_10,5,7,Rosângela Santos,Brazil,11.06,NA
100m,2017,F,World Championships,table_10,6,5,Elaine Thompson,Jamaica,10.98,NA
100m,2017,F,World Championships,table_10,8,4,Murielle Ahouré,Ivory Coast,10.98,NA
100m,2017,F,World Championships,table_9,2,8,Kelly-Ann Baptiste,Trinidad and Tobago,11.07,NA
100m,2017,F,World Championships,table_9,2,16,Asha Philip,Great Britain & N.I.,11.19,NA
100m,2017,F,World Championships,table_9,2,24,Ewa Swoboda,Poland,11.35,NA
100m,2017,F,World Championships,table_9,3,17,Simone Facey,Jamaica,11.23,NA
100m,2017,F,World Championships,table_9,3,18,Desiree Henry,Great Britain & N.I.,11.24,NA
100m,2017,F,World Championships,table_9,3,22,Salomé Kora,Switzerland,11.31,NA
100m,2017,F,World Championships,table_9,4,1,Elaine Thompson,Jamaica,10.84,NA
100m,2017,F,World Championships,table_9,4,4,Tori Bowie,United States,10.91,NA
100m,2017,F,World Championships,table_9,4,13,Daryll Neita,Great Britain & N.I.,11.16,NA
100m,2017,F,World Championships,table_9,5,9,Blessing Okagbare,Nigeria,11.08,NA
100m,2017,F,World Championships,table_9,5,11,Crystal Emmanuel,Canada,11.14,NA
100m,2017,F,World Championships,table_9,5,23,Deajah Stevens,United States,11.32,NA
100m,2017,F,World Championships,table_9,6,3,Rosângela Santos,Brazil,10.91,NA
100m,2017,F,World Championships,table_9,6,5,Dafne Schippers,Netherlands,10.98,NA
100m,2017,F,World Championships,table_9,6,14,Gina Lückenkemper,Germany,11.16,NA
100m,2017,F,World Championships,table_9,7,2,Marie-Josée Ta Lou,Ivory Coast,10.87,NA
100m,2017,F,World Championships,table_9,7,6,Murielle Ahouré,Ivory Coast,10.99,NA
100m,2017,F,World Championships,table_9,7,10,Mujinga Kambundji,Switzerland,11.11,NA
100m,2017,F,World Championships,table_9,8,12,Natasha Morrison,Jamaica,11.15,NA
100m,2017,F,World Championships,table_9,8,19,Ivet Lalova-Collio,Bulgaria,11.25,NA
100m,2017,F,World Championships,table_9,8,21,Ariana Washington,United States,11.29,NA
100m,2017,F,World Championships,table_9,9,7,Michelle-Lee Ahye,Trinidad and Tobago,11.04,NA
100m,2017,F,World Championships,table_9,9,15,Jura Levy,Jamaica,11.19,NA
100m,2017,F,World Championships,table_9,9,20,Carina Horn,South Africa,11.26,NA
100m,2017,M,World Championships,table_11,2,5,Akani Simbine,South Africa,10.05,NA
100m,2017,M,World Championships,table_11,2,14,Emmanuel Matadi,Liberia,10.2,NA
100m,2017,M,World Championships,table_11,2,17,Shuhei Tada,Japan,10.26,NA
100m,2017,M,World Championships,table_11,3,16,Asuka Cambridge,Japan,10.25,NA
100m,2017,M,World Championships,table_11,3,18,Emre Zafer Barnes,Turkey,10.27,NA
100m,2017,M,World Championships,table_11,3,21,Alex Wilson,Switzerland,10.3,NA
100m,2017,M,World Championships,table_11,4,1,Christian Coleman,United States,9.97,NA
100m,2017,M,World Championships,table_11,4,3,Yohan Blake,Jamaica,10.04,NA
100m,2017,M,World Championships,table_11,4,15,James Dasaolu,Great Britain & N.I.,10.22,NA
100m,2017,M,World Championships,table_11,5,11,Julian Forte,Jamaica,10.13,NA
100m,2017,M,World Championships,table_11,5,19,Abdul Hakim Sani Brown,Japan,10.28,NA
100m,2017,M,World Championships,table_11,5,22,Andrew Fisher,Bahrain,10.36,NA
100m,2017,M,World Championships,table_11,6,2,Usain Bolt,Jamaica,9.98,NA
100m,2017,M,World Championships,table_11,6,6,Justin Gatlin,United States,10.09,NA
100m,2017,M,World Championships,table_11,6,8,Su Bingtian,China,10.1,NA
100m,2017,M,World Championships,table_11,7,9,Chijindu Ujah,Great Britain & N.I.,10.12,NA
100m,2017,M,World Championships,table_11,7,10,Ben Youssef Meïté,Ivory Coast,10.12,NA
100m,2017,M,World Championships,table_11,7,12,Jak Ali Harvey,Turkey,10.16,NA
100m,2017,M,World Championships,table_11,8,7,Jimmy Vicaut,France,10.09,NA
100m,2017,M,World Championships,table_11,8,13,Christopher Belcher,United States,10.2,NA
100m,2017,M,World Championships,table_11,8,23,Kim Kuk-young,South Korea,10.4,NA
100m,2017,M,World Championships,table_11,9,4,Reece Prescod,Great Britain & N.I.,10.05,NA
100m,2017,M,World Championships,table_11,9,20,Xie Zhenye,China,10.28,NA
100m,2017,M,World Championships,table_11,9,24,Cejhae Greene,Antigua and Barbuda,10.64,NA
100m,2017,M,World Championships,table_12,2,8,Su Bingtian,China,10.27,0.224
100m,2017,M,World Championships,table_12,3,6,Jimmy Vicaut,France,10.08,0.152
100m,2017,M,World Championships,table_12,6,5,Akani Simbine,South Africa,10.01,0.141
100m,2017,M,World Championships,table_12,7,4,Yohan Blake,Jamaica,9.99,0.137
100m,2017,M,World Championships,table_12,9,7,Reece Prescod,Great Britain & N.I.,10.17,0.145
100m,2019,F,World Championships,table_8,3,7,Teahna Daniels,United States,11.19,NA
100m,2019,F,World Championships,table_8,5,4,Elaine Thompson,Jamaica,10.93,NA
100m,2019,F,World Championships,table_8,8,5,Murielle Ahouré,Ivory Coast,11.02,NA
100m,2019,F,World Championships,table_8,9,6,Jonielle Smith,Jamaica,11.06,NA
100m,2019,M,World Championships,table_9,2,7,Filippo Tortu,Italy,10.07,NA
100m,2019,M,World Championships,table_9,5,4,Akani Simbine,South Africa,9.93,NA
100m,2019,M,World Championships,table_9,7,6,Zharnel Hughes,Great Britain & N.I.,10.03,NA
100m,2019,M,World Championships,table_9,8,5,Yohan Blake,Jamaica,9.97,NA
100m,2019,M,World Championships,table_9,9,8,Aaron Brown,Canada,10.08,NA
100m,2020,F,Olympics,table_20,2,6,Gina Bass,The Gambia,11.16,0.14
100m,2020,F,Olympics,table_20,3,8,Anna Bongiorni,Italy,11.38,0.159
100m,2020,F,Olympics,table_20,4,4,Daryll Neita,Great Britain,11,0.135
100m,2020,F,Olympics,table_20,5,1,Shelly-Ann Fraser-Pryce,Jamaica,10.73,0.136
100m,2020,F,Olympics,table_20,6,3,Teahna Daniels,United States,10.98,0.144
100m,2020,F,Olympics,table_20,7,2,Mujinga Kambundji,Switzerland,10.96,0.128
100m,2020,F,Olympics,table_20,8,7,Murielle Ahouré,Ivory Coast,11.28,0.124
100m,2020,F,Olympics,table_20,9,5,Nzubechi Grace Nwokocha,Nigeria,11.07,0.142
100m,2020,F,Olympics,table_21,2,8,Daryll Neita,Great Britain,11.12,0.108
100m,2020,F,Olympics,table_21,3,7,Teahna Daniels,United States,11.02,0.144
100m,2020,F,Olympics,table_21,6,4,Marie-Josée Ta Lou,Ivory Coast,10.91,0.158
100m,2020,F,Olympics,table_21,8,5,Ajla Del Ponte,Switzerland,10.97,0.129
100m,2020,F,Olympics,table_21,9,6,Mujinga Kambundji,Switzerland,10.99,0.138
100m,2020,M,Olympics,table_21,2,5,Jason Rogers,Saint Kitts and Nevis,10.12,NA
100m,2020,M,Olympics,table_21,3,7,Paulo André de Oliveira,Brazil,10.31,NA
100m,2020,M,Olympics,table_21,5,3,Marcell Jacobs,Italy,9.84,NA
100m,2020,M,Olympics,table_21,7,4,Akani Simbine,South Africa,9.9,NA
100m,2020,M,Olympics,table_21,9,6,Arthur Cissé,Ivory Coast,10.18,NA
100m,2020,M,Olympics,table_22,2,4,Akani Simbine,South Africa,9.93,NA
100m,2020,M,Olympics,table_22,6,6,Su Bingtian,China,9.98,NA
100m,2020,M,Olympics,table_22,7,5,Ronnie Baker,United States,9.95,NA
100m,2022,M,World Championships,table_8,1,7,Abdul Hakim Sani Brown,Japan,10.06,NA
100m,2022,M,World Championships,table_8,2,8,Aaron Brown,Canada,10.07,NA
100m,2022,M,World Championships,table_8,6,4,Oblique Seville,Jamaica,9.97,NA
100m,2023,F,World Championships,table_7,2,16,Gina Lückenkemper,Germany,11.18,NA
100m,2023,F,World Championships,table_7,2,20,Rani Rosius,Belgium,11.2,NA
100m,2023,F,World Championships,table_7,2,23,Boglárka Takács,Hungary,11.26,NA
100m,2023,F,World Championships,table_7,3,14,Shashalee Forbes,Jamaica,11.12,NA
100m,2023,F,World Championships,table_7,3,16,Michelle-Lee Ahye,Trinidad and Tobago,11.18,NA
100m,2023,F,World Championships,table_7,3,18,Gina Bass,Gambia,11.19,NA
100m,2023,F,World Championships,table_7,4,6,Brittany Brown,United States,10.97,NA
100m,2023,F,World Championships,table_7,4,11,Daryll Neita,Great Britain & N.I.,11.03,NA
100m,2023,F,World Championships,table_7,4,13,Mujinga Kambundji,Switzerland,11.04,NA
100m,2023,F,World Championships,table_7,5,1,Shericka Jackson,Jamaica,10.79,NA
100m,2023,F,World Championships,table_7,5,5,Julien Alfred,Saint Lucia,10.92,NA
100m,2023,F,World Championships,table_7,5,8,Ewa Swoboda,Poland,11.01,NA
100m,2023,F,World Championships,table_7,6,3,Sha'Carri Richardson,United States,10.84,NA
100m,2023,F,World Championships,table_7,6,7,Tamari Davis,United States,10.98,NA
100m,2023,F,World Championships,table_7,6,12,Natasha Morrison,Jamaica,11.03,NA
100m,2023,F,World Championships,table_7,7,1,Marie-Josée Ta Lou,Ivory Coast,10.79,NA
100m,2023,F,World Championships,table_7,7,4,Shelly-Ann Fraser-Pryce,Jamaica,10.89,NA
100m,2023,F,World Championships,table_7,7,8,Dina Asher-Smith,Great Britain & N.I.,11.01,NA
100m,2023,F,World Championships,table_7,8,10,Zoe Hobbs,New Zealand,11.02,NA
100m,2023,F,World Championships,table_7,8,15,N'Ketia Seedo,Netherlands,11.17,NA
100m,2023,F,World Championships,table_7,8,19,Zaynab Dosso,Italy,11.19,NA
100m,2023,F,World Championships,table_7,9,21,Jaël Bestué,Spain,11.25,NA
100m,2023,F,World Championships,table_7,9,22,Rosemary Chukwuma,Nigeria,11.26,NA
100m,2023,F,World Championships,table_7,9,24,Géraldine Frey,Switzerland,11.28,NA
100m,2023,F,World Championships,table_8,1,6,Ewa Swoboda,Poland,10.97,NA
100m,2023,F,World Championships,table_8,2,8,Dina Asher-Smith,Great Britain & N.I.,11,NA
100m,2023,F,World Championships,table_8,3,7,Brittany Brown,United States,10.97,NA
100m,2023,F,World Championships,table_8,6,5,Julien Alfred,Saint Lucia,10.93,NA
100m,2023,F,World Championships,table_8,7,4,Marie-Josée Ta Lou,Ivory Coast,10.81,NA
100m,2023,F,World Championships,table_8,8,9,Tamari Davis,United States,11.03,NA
100m,2023,M,World Championships,table_19,2,7,Brendon Rodney,Canada,10.25,NA
100m,2023,M,World Championships,table_19,3,4,Rohan Browning,Australia,10.11,NA
100m,2023,M,World Championships,table_19,4,3,Fred Kerley,United States,10.02,NA
100m,2023,M,World Championships,table_19,5,5,Raphael Bouju,Netherlands,10.2,NA
100m,2023,M,World Championships,table_19,6,2,Letsile Tebogo,Botswana,9.98,NA
